id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia
"40708055";"tuss-22";"Cintilografia de corpo total com FDG-18 F, em câmara híbrida";"-";"2010-10-15";"2009-02-13"
"40708047";"tuss-22";"Cintilografia com MIBG (metaiodobenzilguanidina)";"-";"2010-10-15";"2009-02-13"
"40708039";"tuss-22";"Cintilografia com leucócitos marcados";"-";"2010-10-15";"2009-02-13"
"40708020";"tuss-22";"Cintilografia com gálio-67";"-";"2010-10-15";"2009-02-13"
"40708012";"tuss-22";"Cintilografia com análogo de somatostatina";"-";"2010-10-15";"2009-02-13"
"40707091";"tuss-22";"CINTILOGRAFIA PERFUSÃO CEREBRAL PARA AVALIAÇÃO DE TRANSPORTADORES DE DOPAMINA";"-";"2018-03-31";"2018-01-01"
"40707083";"tuss-22";"Ventrículo-cintilografia";"-";"2010-10-15";"2009-02-13"
"40707075";"tuss-22";"Mielocintilografia";"-";"2010-10-15";"2009-02-13"
"40707067";"tuss-22";"Fluxo sanguíneo cerebral ";"-";"2010-10-15";"2009-02-13"
"40707059";"tuss-22";"Cisternocintilografia para pesquisa de fístula liquórica";"-";"2010-10-15";"2009-02-13"
"40707040";"tuss-22";"Cisternocintilografia (inclui estudo do trânsito liquórico)";"-";"2016-03-31";"2016-01-01"
"40707032";"tuss-22";"Cintilografia de perfusão cerebral";"-";"2010-10-15";"2009-02-13"
"40707024";"tuss-22";"Cintilografia cerebral com FDG-18 F, em câmara hibrída";"-";"2010-10-15";"2009-02-13"
"40707016";"tuss-22";"Cintilografia cerebral";"-";"2010-10-15";"2009-02-13"
"40706028";"tuss-22";"Fluxo sanguíneo ósseo  ";"-";"2010-10-15";"2009-02-13"
"40706010";"tuss-22";"Cintilografia óssea (corpo total)";"-";"2010-10-15";"2009-02-13"
"40705064";"tuss-22";"Teste de absorção de vitamina B12 com cobalto - 57 (teste de Schilling) ";"-";"2010-10-15";"2009-02-13"
"40705056";"tuss-22";"Determinação do volume plasmático ";"-";"2010-10-15";"2009-02-13"
"40705048";"tuss-22";"Determinação do volume eritrocitário ";"-";"2010-10-15";"2009-02-13"
"40705030";"tuss-22";"Determinação da sobrevida de hemácias ";"-";"2010-10-15";"2009-02-13"
"40705021";"tuss-22";"Demonstração do sequestro de hemácias pelo baço ";"-";"2010-10-15";"2009-02-13"
"40705013";"tuss-22";"Cintilografia do sistema retículo-endotelial (medula óssea)";"-";"2010-10-15";"2009-02-13"
"40704092";"tuss-22";"Renograma";"-";"2010-10-15";"2009-02-13"
"40704084";"tuss-22";"Determinação do fluxo plasmático renal";"-";"2010-10-15";"2009-02-13"
"40704076";"tuss-22";"Determinação da filtração glomerular ";"-";"2010-10-15";"2009-02-13"
"40704068";"tuss-22";"Cistocintilografia indireta";"-";"2010-10-15";"2009-02-13"
"40704050";"tuss-22";"Cistocintilografia direta";"-";"2010-10-15";"2009-02-13"
"40704041";"tuss-22";"Cintilografia testicular (escrotal)";"-";"2010-10-15";"2009-02-13"
"40704033";"tuss-22";"Cintilografia renal estática (quantitativa ou qualitativa)";"-";"2010-10-15";"2009-02-13"
"40704025";"tuss-22";"Cintilografia renal dinâmica com diurético";"-";"2010-10-15";"2009-02-13"
"40704017";"tuss-22";"Cintilografia renal dinâmica";"-";"2010-10-15";"2009-02-13"
"40703100";"tuss-22";"Cintilografia de corpo inteiro com MIBI marcada com tecnécio - 99m";"-";"2014-08-31";"2012-10-10"
"40703096";"tuss-22";"Cintilografia de corpo inteiro com metaiodobenzilguandina - iodo-123";"-";"2014-08-31";"2012-10-10"
"40703088";"tuss-22";"Teste do perclorato";"-";"2010-10-15";"2009-02-13"
"40703070";"tuss-22";"Teste de supressão da tireóide com T3 ";"-";"2010-10-15";"2009-02-13"
"40703061";"tuss-22";"Teste de estímulo com TSH recombinante ";"-";"2010-10-15";"2009-02-13"
"40703053";"tuss-22";"Cintilografia de corpo inteiro para pesquisa de metástases (PCI)";"-";"2010-10-15";"2009-02-13"
"40703045";"tuss-22";"Cintilografia das paratireóides";"-";"2010-10-15";"2009-02-13"
"40703037";"tuss-22";"Cintilografia da tireóide e/ou captação (tecnécio - 99m TC)";"-";"2010-10-15";"2009-02-13"
"40703029";"tuss-22";"Cintilografia da tireóide e/ou captação (iodo - 131)";"-";"2010-10-15";"2009-02-13"
